ERROR_CODE,ERROR_MESSAGE,PROBLEM,SOLUTION,
101,ADJUST NOT ALLOW,You cannot perform a Correction (void) on a Contactless Purchase or Refund.,,
102,CARD BLOCKED,The contactless card was blocked.,Request another form of payment.,
103,CARD FAIL,There was an error reading the contactless card.,Insert or swipe the same card or another card., Insert or Swipe
104,CARD NOT SUPPORTED,Your merchant account is not set up to accept the card type that was swiped.,Request another form of payment.,
105,CARD REMOVED,The chip card was removed before the end of the transaction.,"Refer to ""TRANS CANCELLED OK to Continue"" in this table for more information.",
106,CARD SWIPE ERROR,There is a problem with the magnetic stripe on the card that was swiped.,"Try swiping the card again, this time more slowly or quickly, or from front of the terminal to the back.",
107,CD NOT SUPPORTED,The type of contactless card tapped is not supported by the contactless reader.,"Retry the tap - if the same error occurs, request another form of payment.",
108,CHIP MALFUNCTION,There was an error reading the chip card.,"Remove the card and retry the transaction. If the message reappears, swipe the card.",
109,DECLINED BY CARD,The chip card was declined by the terminal.,"Re-try the transaction. If the message re-appears, request another form of payment.",
110,ERR READ CARD NO,There is a problem with the magnetic stripe on the card that was swiped.,"Try swiping the card again, this time more slowly or quickly, or from front of the terminal to the back.",
111,EXC REFUND LIMIT,The total value of refunds performed today is greater than your daily refund limit.,,
112,EXCEEDS LIMIT,The transaction amount is over the contactless card's maximum Contactless Dollar Value (CDV).,Insert or swipe the same card or another card.,
113,EXCEEDS REFUND LIMIT,The total value of refunds performed today is greater than your daily refund limit.,,
114,EXPIRED CARD,The expiry date on the card that was swiped has passed.,Request another form of payment.,
115,INSERT ON PINPAD,A chip card was inserted in the terminal chip reader when there is an external PINpad attached.,Insert the card into the PINpad's chip reader.,
116,INVALID ACCNT. NO,"During a swiped credit card transaction, the digits entered as the last four of the credit card do not match the last four digits of the card number encoded on the card's magnetic stripe.","Check the card number and re-enter the last four digits when the ""Last 4 digits:"" prompt re-appears.",
117,INVALID AMOUNT,"The amount entered is invalid. During a transaction: Tip amount, cashback was too high.",Check the amount and re-enter a valid amount.,
118,INVALID CARD,An invalid card type was used.,Use another card or request another form of payment.,
119,INVALID DATE,The date entered is not a valid date.,"The date must be entered in the MMYY format and must be a valid calendar date, e.g. 1409 is not a valid date.",
120,INVALID PASSWORD,"Press the red CANC ANNUL key, then re-enter the manager password and press the green OK key.","IMPORTANT: If the manager password is entered incorrectly five times in a row, the terminal will lock and will be unable to perform transactions. To unlock the terminal, contact your service centre and request a password reset.",
121,LINE BUSY,"Check if the phone line is shared with another piece of equipment, e.g. a fax machine.","If it is, disconnect the other piece of equipment to leave the line free for the terminal and try the transaction again.",
122,MUST INSERT CARD,A chip-enabled card was swiped.,Insert the card in the chip card reader and resume the transaction.,
123,MUST SETTLE SOON,Your batch is very nearly at capacity.,,
124,PIN CANCELLED,This message occurs when a customer removes their chip card, Enter PIN & OK prompt.,,
125,PRINTER ERROR,"Open the printer, check that there is a paper roll and that the roll is loaded properly then close the printer.",,
