sid,search,"splunk_server","_time","is_realtime","event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time",provenance,"__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_provenance"
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__queryHistorySearch_1510082469.9","| kvstorelookup showcase_linear_regression_history | eval Actions=model_name | eval test_fraction = 100-training_fraction, ""Split for training / test"" = if(test_fraction > 0, training_fraction + "" / "" + test_fraction, ""no split""), ""Algorithm"" = if(regression_algorithm == """" OR isnull(regression_algorithm), ""LinearRegression"", regression_algorithm), ""Algorithm Settings"" = regression_algorithm_params, ""Fields to use for predicting"" = features, ""Model name"" = model_name, ""Search query"" = search_query, ""Preprocess Settings"" = preprocess_query, ""Field to predict"" = target, ""R² Statistic"" = round(r_squared, 4), ""RMSE"" = round(rmse, 2)","Jonathons-MacBook-Air.local","1510082469.320431",0,0,1510082469,0,queryHistorySearch,0,completed,"4.701872538",,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217367.153","| inputlookup server_power.csv","Jonathons-MacBook-Air.local","1537217367.292507",0,0,1537217367,31272,searchBarSearch,0,completed,"0.47000000000000003",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__preprocessSearch_1537217370.154","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217367.153","Jonathons-MacBook-Air.local","1537217370.049981",0,0,1537217370,31272,preprocessSearch,0,completed,"0.22",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__variableSearch_1537217370.155","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__preprocessSearch_1537217370.154 | head 1 | transpose | fields column","Jonathons-MacBook-Air.local","1537217370.629512",0,0,1537217370,10,variableSearch,0,completed,"0.223",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD56f33aa7f38d2c48b_1537217371.156","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__variableSearch_1537217370.155 | search column != ""column"" AND column != ""_*""","Jonathons-MacBook-Air.local","1537217371.646439",0,0,1537217371,9,targetVariableSearch,0,completed,"0.037",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5190d2fa0a2c36ac2_1537217372.157","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__variableSearch_1537217370.155 | search column != ""column"" AND column != ""ac_power"" AND (column != ""_*"" OR column = ""_time"")","Jonathons-MacBook-Air.local","1537217372.689171",0,0,1537217372,9,featuresVariableSearch,0,completed,"0.032",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__dataPartitionSearch_1537217373.158","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217367.153 | sample partitions=100","Jonathons-MacBook-Air.local","1537217373.723345",0,0,1537217374,31272,dataPartitionSearch,0,completed,"1.999",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__trainingSearch_1537217376.159","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__dataPartitionSearch_1537217373.158 | search partition_number < 50 | fields - partition_number  | fit LinearRegression fit_intercept=true ""ac_power"" from ""total-unhalted_core_cycles"" ""total-instructions_retired"" ""total-last_level_cache_references"" ""total-memory_bus_transactions"" ""total-cpu-utilization"" ""total-disk-accesses"" ""total-disk-blocks"" ""total-disk-utilization"" into ""example_server_power""","Jonathons-MacBook-Air.local","1537217376.732127",0,0,1537217389,15627,trainingSearch,0,completed,"4.253",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217393.168","| inputlookup server_power.csv","Jonathons-MacBook-Air.local","1537217393.304808",0,0,1537217393,0,searchBarSearch,0,canceled,"0.314",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217393.169","search index=blood_sugar sourcetype=glucose","Jonathons-MacBook-Air.local","1537217393.371842",0,0,1537217394,0,searchBarSearch,0,completed,"0.116",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__testingSearch_1537217393.170","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__dataPartitionSearch_1537217373.158 | search partition_number >= 50 | fields - partition_number | apply ""example_server_power""","Jonathons-MacBook-Air.local","1537217393.997883",0,0,1537217401,15645,testingSearch,0,completed,"4.939",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5060732853ec83901_1537217407.171","| summary ""example_server_power"" | table feature *","Jonathons-MacBook-Air.local","1537217407.285145",0,0,1537217411,9,fitModelSummaryTableSearch,0,completed,"3.194",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217408.172","search index=blood_sugar sourcetype=glucose","Jonathons-MacBook-Air.local","1537217408.857098",0,0,1537217409,0,searchBarSearch,0,canceled,"0.168",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217408.173","search sourcetype=glucose","Jonathons-MacBook-Air.local","1537217408.859516",0,0,1537217409,0,searchBarSearch,0,canceled,"0.163",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217417.182","search sourcetype=glucose","Jonathons-MacBook-Air.local","1537217417.473874",0,0,1537217418,0,searchBarSearch,0,canceled,"0.096",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537217417.183","search index=* sourcetype=glucose","Jonathons-MacBook-Air.local","1537217417.485317",0,0,1537217418,0,searchBarSearch,0,completed,"0.293",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537218060.363","search index=* sourcetype=glucose","Jonathons-MacBook-Air.local","1537218060.221935",0,0,1537218060,0,searchBarSearch,0,canceled,"0.368",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537218060.364","search index=*","Jonathons-MacBook-Air.local","1537218060.239876",0,33881,1537218060,0,searchBarSearch,33881,canceled,"3.556",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537218064.367","search index=*","Jonathons-MacBook-Air.local","1537218064.024202",0,0,1537218064,0,searchBarSearch,0,canceled,"0.377",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537218064.368","search index=*","Jonathons-MacBook-Air.local","1537218064.036916",0,103127,1537218064,0,searchBarSearch,103181,canceled,"14.758000000000001",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537218076.378","search index=blood*","Jonathons-MacBook-Air.local","1537218076.568924",0,3580,1537218077,3580,searchBarSearch,3580,completed,"0.859",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__preprocessSearch_1537218079.379","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1537218076.378","Jonathons-MacBook-Air.local","1537218079.414166",0,0,1537218079,3580,preprocessSearch,0,completed,"0.267",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__variableSearch_1537218079.380","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__preprocessSearch_1537218079.379 | head 1 | transpose | fields column","Jonathons-MacBook-Air.local","1537218079.911968",0,0,1537218079,33,variableSearch,0,completed,"0.14100000000000001",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD56f33aa7f38d2c48b_1537218080.381","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__variableSearch_1537218079.380 | search column != ""column"" AND column != ""_*""","Jonathons-MacBook-Air.local","1537218080.925081",0,0,1537218080,23,targetVariableSearch,0,completed,"0.03",splunkjs,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5190d2fa0a2c36ac2_1537218096.382","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__variableSearch_1537218079.380 | search column != ""column"" AND column != ""glucose"" AND (column != ""_*"" OR column = ""_time"")","Jonathons-MacBook-Air.local","1537218096.386584",0,0,1537218096,23,featuresVariableSearch,0,completed,"0.038",splunkjs,,,,,,,,,,,,,
