sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","savedsearch_name","scan_count",status,"total_run_time","api_et","search_et","api_lt","search_lt","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_savedsearch_name","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_search_et","__mv_api_lt","__mv_search_lt"
"rt_md_1559274428.5","| metadata type=sourcetypes | search totalCount > 0","Jonathons-MacBook-Air.local","1559274428.456630",1,"UI:Search",0,1559274428,0,,0,failed,"35.324",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search1_1559274441.7","search index=""maildata"" sourcetype=""email_log"" milter_action=* | stats count","Jonathons-MacBook-Air.local","1559274441.608295",0,"UI:Dashboard:mail_dashboard",0,1559274442,1,search1,0,completed,"1.298",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search2_1559274441.8","search index=""maildata"" stat=sent | stats count","Jonathons-MacBook-Air.local","1559274441.622254",0,"UI:Dashboard:mail_dashboard",0,1559274442,1,search2,0,completed,"0.9380000000000001",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search3_1559274441.9","search index=""maildata"" stat=sent | timechart span=1h count","Jonathons-MacBook-Air.local","1559274441.627889",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search3,0,completed,"1.133",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search4_1559274441.10","search index=""maildata"" sourcetype=""email_log"" stat=Sent | timechart span=1h avg(delay)","Jonathons-MacBook-Air.local","1559274441.636429",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search4,0,completed,"1.068",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search5_1559274441.11","search index=""maildata"" sourcetype=""email_log"" from!=""<>"" | eval sender=trim(from,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559274441.764608",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search5,0,completed,"1.228",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search6_1559274441.12","search index=""maildata"" sourcetype=""email_log""  | eval sender=trim(to,""<>"")  | top sender | fields - percent","Jonathons-MacBook-Air.local","1559274441.785303",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search6,0,completed,"1.182",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search7_1559274441.13","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" size=* |stats sum(size) as size by qid","Jonathons-MacBook-Air.local","1559274441.827792",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search7,0,completed,"1.223",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search8_1559274441.14","search index=""maildata"" sourcetype=""email_log"" | transaction qid | table qid pid stat to from size _raw","Jonathons-MacBook-Air.local","1559274441.880582",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search8,0,completed,"1.344",,,,,,,,,,,,,,,,,,,,,
"admin__admin_ZW1haWxfZGF0YQ__search9_1559274441.15","search index=""maildata"" sourcetype=""email_log""  qid!=""NOQUEUE"" | eval recipient=trim(to,""<>"") | stats count values(recipient) as Recipient by qid | top Recipient | fields - percent","Jonathons-MacBook-Air.local","1559274441.900572",0,"UI:Dashboard:mail_dashboard",0,1559274442,0,search9,0,completed,"1.2510000000000001",,,,,,,,,,,,,,,,,,,,,
