sid,search,"splunk_server","_time","is_realtime",provenance,"event_count","exec_time","result_count","scan_count",status,"total_run_time","api_et","api_lt","search_et","search_lt","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_status","__mv_total_run_time","__mv_api_et","__mv_api_lt","__mv_search_et","__mv_search_lt","__mv_savedsearch_name"
"admin__admin__search__search4_1528807388.20822","search index=""parse_chat"" filename=* |  eval type=if(match(filename,""chaturbate""),""chaturbate"",if(match(filename,""xvideos""),""xvideos"",if(match(filename,""myfreecams""),""myfreecams"",if(match(filename,""xhamster""),""xhamster"",""pornhub"")))) | timechart count by type | addtotals","Jonathons-MacBook-Air.local","1528807388.608448",0,"UI:Dashboard:parse_chat_travel_drive_post_process",0,1528807388,0,0,completed,"0.112","1528675200.000000000","1528807388.000000000","1528675200.000000000","1528807388.000000000",search4,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1528807426.20825","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1528807426.809543",0,"UI:Dashboard:parse_chat_travel_drive_post_process",30,1528807427,78,30,completed,"0.156","1528527600.000000000","1528807426.000000000","1528527600.000000000","1528807426.000000000",search5,,,,,,,,,,,,,,,,,
"admin__admin__search__search9_1528807783.20828","search index=parse_chat filename=xhamster* | rex field=filename ""xhamster.com_\d+_(?<words>.+).mp4"" | rex field=words mode=sed ""s/_/ /g"" | rex field=words mode=sed ""s/\d{3}p//"" | rex field=words mode=sed ""s/(\sa\s| an | on | and | the | in | with | for | by | as | at | is |2| gets | me |the| her | my | part | has | ip | to | ft )//g"" | eval all_words=split(words,"" "")  | rex field=words mode=sed ""s/ /|/g"" | stats count by  all_words | where count < 80 AND count > 3 | sort - count","Jonathons-MacBook-Air.local","1528807783.658039",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1528807784,27,176,completed,"0.602",,,,,search9,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch2_1528807783.20830","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}""","Jonathons-MacBook-Air.local","1528807783.685987",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3279,1528807784,3279,4576,completed,"0.914",,,,,baseSearch2,,,,,,,,,,,,,,,,,
"admin__admin__search__search8_1528807786.20832","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}""  | eval hours=round((duration / 60 / 60),1) |  sort - hours | top 50 model","Jonathons-MacBook-Air.local","1528807786.313588",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3279,1528807789,50,3279,completed,"1.18",,,,,search8,,,,,,,,,,,,,,,,,
"admin__admin__search__search16_1528807786.20837","search index=parse_chat filename!=*xvideo* filename!=*xham* filename!=*chaturbate* filename!=*myfree* | eval minutes=round((duration / 60),0) | rangemap field=minutes very_short=0-15 short=16-30 medium=31-45 long=46-60  default=very_long | stats count by range","Jonathons-MacBook-Air.local","1528807786.558040",0,"UI:Dashboard:parse_chat_travel_drive_post_process",215,1528807789,5,215,completed,"0.77",,,,,search16,,,,,,,,,,,,,,,,,
"admin__admin__search__search4_1528807786.20838","search index=""parse_chat"" filename=* |  eval type=if(match(filename,""chaturbate""),""chaturbate"",if(match(filename,""xvideos""),""xvideos"",if(match(filename,""myfreecams""),""myfreecams"",if(match(filename,""xhamster""),""xhamster"",""pornhub"")))) | timechart count by type | addtotals","Jonathons-MacBook-Air.local","1528807786.778432",0,"UI:Dashboard:parse_chat_travel_drive_post_process",160,1528807789,78,160,completed,"0.485","1528527600.000000000","1528807786.000000000","1528527600.000000000","1528807786.000000000",search4,,,,,,,,,,,,,,,,,
"admin__admin__search__search5_1528807786.20839","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}"" | timechart limit=1000 count by model","Jonathons-MacBook-Air.local","1528807786.881294",0,"UI:Dashboard:parse_chat_travel_drive_post_process",30,1528807790,78,30,completed,"0.39","1528527600.000000000","1528807786.000000000","1528527600.000000000","1528807786.000000000",search5,,,,,,,,,,,,,,,,,
"admin__admin__search__search9_1528808857.20858","search index=parse_chat filename=xhamster* | rex field=filename ""xhamster.com_\d+_(?<words>.+).mp4"" | rex field=words mode=sed ""s/_/ /g"" | rex field=words mode=sed ""s/\d{3}p//"" | rex field=words mode=sed ""s/(\sa\s| an | on | and | the | in | with | for | by | as | at | is |2| gets | me |the| her | my | part | has | ip | to | ft )//g"" | eval all_words=split(words,"" "")  | rex field=words mode=sed ""s/ /|/g"" | stats count by  all_words | where count < 80 AND count > 3 | sort - count","Jonathons-MacBook-Air.local","1528808857.896808",0,"UI:Dashboard:parse_chat_travel_drive_post_process",176,1528808858,27,176,completed,"0.31",,,,,search9,,,,,,,,,,,,,,,,,
"admin__admin__search__baseSearch2_1528808857.20860","search index=parse_chat filename=*  *haturbate* OR *freecam* | rex field=filename ""^(?<model>.+)_\d{6}""","Jonathons-MacBook-Air.local","1528808857.922033",0,"UI:Dashboard:parse_chat_travel_drive_post_process",3299,1528808858,3299,4602,completed,"0.715",,,,,baseSearch2,,,,,,,,,,,,,,,,,
