sid,search,"splunk_server","_time","is_realtime","api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time"
"1526032861.14195","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1526032861.504809",0,"1525935600.000000000","1526021999.000000000",0,1526032861,31,0,"1525935600.000000000","1526021999.000000000",completed,"0.054",,,,,,,,,,,,,,,
"1526032862.14196","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1526032862.427865",0,"1525935600.000000000","1526021999.000000000",0,1526032862,1,0,"1525935600.000000000","1526021999.000000000",completed,"0.027",,,,,,,,,,,,,,,
"1526032863.14197","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1526032863.069752",0,"1525935600.000000000","1526021999.000000000",0,1526032863,1,0,"1525935600.000000000","1526021999.000000000",completed,"0.302",,,,,,,,,,,,,,,
"1526119261.38234","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1526119261.764113",0,"1525935600.000000000","1526108399.000000000",0,1526119262,31,0,"1525935600.000000000","1526108399.000000000",completed,"0.067",,,,,,,,,,,,,,,
"1526119262.38235","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1526119262.731370",0,"1525935600.000000000","1526108399.000000000",0,1526119262,1,0,"1525935600.000000000","1526108399.000000000",completed,"0.034",,,,,,,,,,,,,,,
"1526119263.38236","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1526119263.352006",0,"1525935600.000000000","1526108399.000000000",0,1526119264,1,0,"1525935600.000000000","1526108399.000000000",completed,"0.331",,,,,,,,,,,,,,,
"1526205662.1096","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1526205662.004460",0,"1526022000.000000000","1526194799.000000000",0,1526205662,33,0,"1526022000.000000000","1526194799.000000000",completed,"0.10200000000000001",,,,,,,,,,,,,,,
"1526205663.1097","| savedsearch instrumentation.topology.deployment.licensing.slave","Jonathons-MacBook-Air.local","1526205663.415337",0,"1526022000.000000000","1526194799.000000000",0,1526205663,1,0,"1526022000.000000000","1526194799.000000000",completed,"0.039",,,,,,,,,,,,,,,
"1526205664.1098","| savedsearch instrumentation.usage.search.report_acceleration","Jonathons-MacBook-Air.local","1526205664.135785",0,"1526022000.000000000","1526194799.000000000",0,1526205664,1,0,"1526022000.000000000","1526194799.000000000",completed,"0.323",,,,,,,,,,,,,,,
"1526812098.4359","| savedsearch instrumentation.deployment.app","Jonathons-MacBook-Air.local","1526812098.411656",0,"1526108400.000000000","1526799599.000000000",0,1526812098,33,0,"1526108400.000000000","1526799599.000000000",completed,"0.084",,,,,,,,,,,,,,,
